CMPLNT_NUM,ADDR_PCT_CD,BORO_NM,CMPLNT_FR_DT,CMPLNT_FR_TM,CMPLNT_TO_DT,CMPLNT_TO_TM,CRM_ATPT_CPTD_CD,HADEVELOPT,JURIS_DESC,KY_CD,LAW_CAT_CD,LOC_OF_OCCUR_DESC,OFNS_DESC,PARKS_NM,PD_CD,PD_DESC,PREM_TYP_DESC,RPT_DT,X_COORD_CD,Y_COORD_CD,Latitude,Longitude,Lat_Lon
403250906,26,MANHATTAN,01/01/2016,00:01:00,12/31/2017,23:59:00,COMPLETED,GRANT,N.Y. HOUSING POLICE,233,MISDEMEANOR,INSIDE,SEX CRIMES,,175,"SEXUAL ABUSE 3,2",RESIDENCE - PUBLIC HOUSING,01/02/2019,,,,,
235290134,6,MANHATTAN,01/01/2016,12:00:00,03/01/2016,12:00:00,COMPLETED,,N.Y. POLICE DEPT,578,VIOLATION,INSIDE,HARRASSMENT 2,,638,"HARASSMENT,SUBD 3,4,5",PHOTO/COPY,03/11/2019,,,,,
983297347,23,MANHATTAN,01/01/2016,08:00:00,12/31/2017,08:00:00,ATTEMPTED,,N.Y. HOUSING POLICE,116,FELONY,INSIDE,SEX CRIMES,,177,SEXUAL ABUSE,RESIDENCE - PUBLIC HOUSING,04/28/2019,,,,,
405538879,18,MANHATTAN,01/01/2016,17:00:00,04/05/2019,04:36:00,COMPLETED,,N.Y. POLICE DEPT,361,MISDEMEANOR,INSIDE,OFF. AGNST PUB ORD SENSBLTY &,,639,AGGRAVATED HARASSMENT 2,RESIDENCE - APT. HOUSE,05/15/2019,,,,,
614924322,14,MANHATTAN,01/01/2016,00:01:00,,,COMPLETED,,N.Y. POLICE DEPT,109,FELONY,INSIDE,GRAND LARCENY,,430,"LARCENY,GRAND BY BANK ACCT COMPROMISE-UNCLASSIFIED",BANK,09/11/2019,,,,,
965893271,25,MANHATTAN,01/02/2016,09:00:00,01/02/2017,18:30:00,COMPLETED,,N.Y. POLICE DEPT,341,MISDEMEANOR,INSIDE,PETIT LARCENY,,338,"LARCENY,PETIT FROM BUILDING,UN",RESIDENCE - APT. HOUSE,06/04/2019,,,,,
886223360,6,MANHATTAN,01/14/2016,13:00:00,07/31/2019,16:00:00,COMPLETED,,N.Y. POLICE DEPT,351,MISDEMEANOR,INSIDE,CRIMINAL MISCHIEF & RELATED OF,,259,"CRIMINAL MISCHIEF,UNCLASSIFIED 4",OTHER,07/31/2019,,,,,
102770636,26,MANHATTAN,01/20/2016,15:00:00,,,COMPLETED,,N.Y. POLICE DEPT,578,VIOLATION,INSIDE,HARRASSMENT 2,,638,"HARASSMENT,SUBD 3,4,5",RESIDENCE - APT. HOUSE,07/21/2019,,,,,
664626047,34,MANHATTAN,01/28/2016,12:00:00,06/30/2017,00:00:00,COMPLETED,,N.Y. POLICE DEPT,112,FELONY,INSIDE,THEFT-FRAUD,,739,"FRAUD,UNCLASSIFIED-FELONY",DOCTOR/DENTIST OFFICE,09/11/2019,,,,,
690833151,25,MANHATTAN,02/01/2016,13:00:00,09/01/2018,13:00:00,COMPLETED,WAGNER,N.Y. HOUSING POLICE,116,FELONY,INSIDE,SEX CRIMES,,166,SODOMY 2,RESIDENCE - PUBLIC HOUSING,04/06/2019,,,,,
992911590,18,MANHATTAN,02/01/2016,08:00:00,01/31/2018,08:00:00,COMPLETED,,N.Y. POLICE DEPT,340,MISDEMEANOR,INSIDE,FRAUDS,,718,"FRAUD,UNCLASSIFIED-MISDEMEANOR",RESIDENCE - APT. HOUSE,07/07/2019,,,,,
563999853,5,MANHATTAN,02/03/2016,20:40:00,02/03/2019,20:50:00,COMPLETED,,N.Y. POLICE DEPT,344,MISDEMEANOR,INSIDE,ASSAULT 3 & RELATED OFFENSES,,101,ASSAULT 3,BAR/NIGHT CLUB,02/03/2019,,,,,
877956688,25,MANHATTAN,02/20/2016,00:00:00,08/08/2018,00:00:00,COMPLETED,,N.Y. POLICE DEPT,233,MISDEMEANOR,INSIDE,SEX CRIMES,,175,"SEXUAL ABUSE 3,2",RESIDENCE - APT. HOUSE,02/20/2019,,,,,
505910152,28,MANHATTAN,02/25/2016,20:11:00,02/25/2019,20:29:00,COMPLETED,,N.Y. POLICE DEPT,361,MISDEMEANOR,INSIDE,OFF. AGNST PUB ORD SENSBLTY &,,639,AGGRAVATED HARASSMENT 2,RESIDENCE - APT. HOUSE,02/25/2019,,,,,
748658209,34,MANHATTAN,03/05/2016,00:00:00,03/04/2019,23:35:00,COMPLETED,,N.Y. POLICE DEPT,112,FELONY,INSIDE,THEFT-FRAUD,,739,"FRAUD,UNCLASSIFIED-FELONY",RESIDENCE - APT. HOUSE,03/05/2019,,,,,
849426894,30,MANHATTAN,03/06/2016,08:00:00,03/06/2016,09:00:00,COMPLETED,,N.Y. POLICE DEPT,116,FELONY,INSIDE,SEX CRIMES,,177,SEXUAL ABUSE,RESIDENCE - APT. HOUSE,03/06/2019,,,,,
337642706,23,MANHATTAN,03/18/2016,13:40:00,03/12/2019,13:46:00,COMPLETED,,N.Y. POLICE DEPT,126,FELONY,,MISCELLANEOUS PENAL LAW,,708,"IMPERSONATION 1, POLICE OFFICE",STREET,03/18/2019,,,,,
455393595,32,MANHATTAN,03/23/2016,00:01:00,03/23/2017,00:01:00,COMPLETED,,N.Y. POLICE DEPT,233,MISDEMEANOR,INSIDE,SEX CRIMES,,175,"SEXUAL ABUSE 3,2",RESIDENCE - APT. HOUSE,03/23/2019,,,,,
546531997,33,MANHATTAN,03/24/2016,20:00:00,03/25/2016,08:00:00,COMPLETED,,N.Y. POLICE DEPT,341,MISDEMEANOR,FRONT OF,PETIT LARCENY,,321,"LARCENY,PETIT FROM AUTO",STREET,03/26/2019,,,,,
751682119,23,MANHATTAN,03/27/2016,15:00:00,03/27/2016,17:00:00,COMPLETED,,N.Y. HOUSING POLICE,104,FELONY,INSIDE,RAPE,,157,RAPE 1,RESIDENCE - PUBLIC HOUSING,07/12/2019,,,,,
974105176,10,MANHATTAN,04/01/2016,08:00:00,09/06/2019,08:00:00,COMPLETED,,N.Y. POLICE DEPT,109,FELONY,,GRAND LARCENY,,407,"LARCENY,GRAND BY DISHONEST EMP",SMALL MERCHANT,09/24/2019,,,,,
