,lower_latitude,upper_latitude,lower_longitude,upper_longitude,box,crime_score
0,0.0,40.513,-74.218,-74.2,"40.498,40.513,-74.218,-74.2",23.1
1,0.0,40.513,-74.237,-74.218,"40.498,40.513,-74.237,-74.218",226.1999999999999
2,0.0,40.513,-75.256,-74.237,"40.498,40.513,-74.256,-74.237",1039.0000000000027
3,40.513,40.526,-74.181,-74.163,"40.513,40.526,-74.181,-74.163",49.800000000000004
4,40.513,40.526,-74.2,-74.181,"40.513,40.526,-74.2,-74.181",221.59999999999988
5,40.513,40.526,-74.218,-74.2,"40.513,40.526,-74.218,-74.2",697.3000000000008
6,40.513,40.526,-74.237,-74.218,"40.513,40.526,-74.237,-74.218",417.00000000000034
7,40.513,40.526,-75.256,-74.237,"40.513,40.526,-74.256,-74.237",364.50000000000017
8,40.526,40.54,-74.144,-74.126,"40.526,40.54,-74.144,-74.126",13.1
9,40.526,40.54,-74.163,-74.144,"40.526,40.54,-74.163,-74.144",673.400000000001
10,40.526,40.54,-74.181,-74.163,"40.526,40.54,-74.181,-74.163",419.1000000000006
11,40.526,40.54,-74.2,-74.181,"40.526,40.54,-74.2,-74.181",626.5000000000003
12,40.526,40.54,-74.218,-74.2,"40.526,40.54,-74.218,-74.2",665.6000000000008
13,40.526,40.54,-74.237,-74.218,"40.526,40.54,-74.237,-74.218",486.0000000000005
14,40.526,40.54,-75.256,-74.237,"40.526,40.54,-74.256,-74.237",176.19999999999993
15,40.54,40.554,-73.941,-73.922,"40.54,40.554,-73.941,-73.922",10.0
16,40.54,40.554,-74.126,-74.107,"40.54,40.554,-74.126,-74.107",2.1
17,40.54,40.554,-74.144,-74.126,"40.54,40.554,-74.144,-74.126",489.6000000000008
18,40.54,40.554,-74.163,-74.144,"40.54,40.554,-74.163,-74.144",1446.9999999999982
19,40.54,40.554,-74.181,-74.163,"40.54,40.554,-74.181,-74.163",1103.000000000001
20,40.54,40.554,-74.2,-74.181,"40.54,40.554,-74.2,-74.181",1068.400000000001
21,40.54,40.554,-74.218,-74.2,"40.54,40.554,-74.218,-74.2",890.8000000000017
22,40.54,40.554,-74.237,-74.218,"40.54,40.554,-74.237,-74.218",630.0000000000002
23,40.54,40.554,-75.256,-74.237,"40.54,40.554,-74.256,-74.237",6.1
24,40.554,40.568,-73.885,-73.867,"40.554,40.568,-73.885,-73.867",1.0
25,40.554,40.568,-73.904,-73.885,"40.554,40.568,-73.904,-73.885",61.300000000000004
26,40.554,40.568,-73.922,-73.904,"40.554,40.568,-73.922,-73.904",369.09999999999997
27,40.554,40.568,-73.941,-73.922,"40.554,40.568,-73.941,-73.922",67.30000000000001
28,40.554,40.568,-74.107,-74.089,"40.554,40.568,-74.107,-74.089",386.2000000000005
29,40.554,40.568,-74.126,-74.107,"40.554,40.568,-74.126,-74.107",1589.9999999999948
30,40.554,40.568,-74.144,-74.126,"40.554,40.568,-74.144,-74.126",1084.400000000002
31,40.554,40.568,-74.163,-74.144,"40.554,40.568,-74.163,-74.144",928.2000000000015
32,40.554,40.568,-74.181,-74.163,"40.554,40.568,-74.181,-74.163",858.7000000000016
33,40.554,40.568,-74.2,-74.181,"40.554,40.568,-74.2,-74.181",557.9000000000005
34,40.554,40.568,-74.218,-74.2,"40.554,40.568,-74.218,-74.2",231.39999999999995
35,40.568,40.582,-73.83,-73.811,"40.568,40.582,-73.83,-73.811",223.49999999999991
36,40.568,40.582,-73.848,-73.83,"40.568,40.582,-73.848,-73.83",1800.8999999999937
37,40.568,40.582,-73.867,-73.848,"40.568,40.582,-73.867,-73.848",607.2000000000004
38,40.568,40.582,-73.904,-73.885,"40.568,40.582,-73.904,-73.885",6.0
39,40.568,40.582,-73.941,-73.922,"40.568,40.582,-73.941,-73.922",272.9
40,40.568,40.582,-73.959,-73.941,"40.568,40.582,-73.959,-73.941",1578.4999999999977
41,40.568,40.582,-73.978,-73.959,"40.568,40.582,-73.978,-73.959",7261.40000000006
42,40.568,40.582,-73.996,-73.978,"40.568,40.582,-73.996,-73.978",8566.10000000009
43,40.568,40.582,-74.015,-73.996,"40.568,40.582,-74.015,-73.996",4297.399999999983
44,40.568,40.582,-74.089,-74.07,"40.568,40.582,-74.089,-74.07",273.09999999999985
45,40.568,40.582,-74.107,-74.089,"40.568,40.582,-74.107,-74.089",1626.9999999999955
46,40.568,40.582,-74.126,-74.107,"40.568,40.582,-74.126,-74.107",1741.999999999995
47,40.568,40.582,-74.144,-74.126,"40.568,40.582,-74.144,-74.126",608.6000000000007
48,40.568,40.582,-74.163,-74.144,"40.568,40.582,-74.163,-74.144",296.0999999999999
49,40.568,40.582,-74.181,-74.163,"40.568,40.582,-74.181,-74.163",1104.5
50,40.568,40.582,-74.2,-74.181,"40.568,40.582,-74.2,-74.181",18.0
51,40.582,40.595,-73.756,-73.738,"40.582,40.595,-73.756,-73.738",583.6000000000006
52,40.582,40.595,-73.775,-73.756,"40.582,40.595,-73.775,-73.756",1375.6999999999985
53,40.582,40.595,-73.793,-73.775,"40.582,40.595,-73.793,-73.775",3110.699999999988
54,40.582,40.595,-73.811,-73.793,"40.582,40.595,-73.811,-73.793",3741.6999999999825
55,40.582,40.595,-73.83,-73.811,"40.582,40.595,-73.83,-73.811",3477.1999999999866
56,40.582,40.595,-73.848,-73.83,"40.582,40.595,-73.848,-73.83",166.49999999999997
57,40.582,40.595,-73.904,-73.885,"40.582,40.595,-73.904,-73.885",61.2
58,40.582,40.595,-73.922,-73.904,"40.582,40.595,-73.922,-73.904",196.89999999999998
59,40.582,40.595,-73.941,-73.922,"40.582,40.595,-73.941,-73.922",3865.8999999999864
60,40.582,40.595,-73.959,-73.941,"40.582,40.595,-73.959,-73.941",5939.900000000021
61,40.582,40.595,-73.978,-73.959,"40.582,40.595,-73.978,-73.959",5733.700000000021
62,40.582,40.595,-73.996,-73.978,"40.582,40.595,-73.996,-73.978",5266.000000000007
63,40.582,40.595,-74.015,-73.996,"40.582,40.595,-74.015,-73.996",583.0000000000001
64,40.582,40.595,-74.07,-74.052,"40.582,40.595,-74.07,-74.052",449.20000000000056
65,40.582,40.595,-74.089,-74.07,"40.582,40.595,-74.089,-74.07",1194.900000000001
66,40.582,40.595,-74.107,-74.089,"40.582,40.595,-74.107,-74.089",1779.7999999999934
67,40.582,40.595,-74.126,-74.107,"40.582,40.595,-74.126,-74.107",89.0
68,40.582,40.595,-74.144,-74.126,"40.582,40.595,-74.144,-74.126",193.69999999999985
69,40.582,40.595,-74.163,-74.144,"40.582,40.595,-74.163,-74.144",1526.7999999999988
70,40.582,40.595,-74.181,-74.163,"40.582,40.595,-74.181,-74.163",2029.4999999999973
71,40.582,40.595,-74.2,-74.181,"40.582,40.595,-74.2,-74.181",529.6000000000005
72,40.582,40.595,-74.218,-74.2,"40.582,40.595,-74.218,-74.2",1.0
73,40.595,40.609,-73.756,-73.738,"40.595,40.609,-73.756,-73.738",7516.200000000084
74,40.595,40.609,-73.775,-73.756,"40.595,40.609,-73.775,-73.756",6483.700000000039
75,40.595,40.609,-73.793,-73.775,"40.595,40.609,-73.793,-73.775",1431.7999999999984
76,40.595,40.609,-73.811,-73.793,"40.595,40.609,-73.811,-73.793",856.7000000000008
77,40.595,40.609,-73.83,-73.811,"40.595,40.609,-73.83,-73.811",332.4000000000001
78,40.595,40.609,-73.904,-73.885,"40.595,40.609,-73.904,-73.885",19.2
79,40.595,40.609,-73.922,-73.904,"40.595,40.609,-73.922,-73.904",587.2000000000003
80,40.595,40.609,-73.941,-73.922,"40.595,40.609,-73.941,-73.922",3069.1999999999875
81,40.595,40.609,-73.959,-73.941,"40.595,40.609,-73.959,-73.941",6368.90000000003
82,40.595,40.609,-73.978,-73.959,"40.595,40.609,-73.978,-73.959",6188.600000000025
83,40.595,40.609,-73.996,-73.978,"40.595,40.609,-73.996,-73.978",7228.200000000076
84,40.595,40.609,-74.015,-73.996,"40.595,40.609,-74.015,-73.996",5826.700000000036
85,40.595,40.609,-74.033,-74.015,"40.595,40.609,-74.033,-74.015",310.69999999999993
86,40.595,40.609,-74.07,-74.052,"40.595,40.609,-74.07,-74.052",1093.8000000000013
87,40.595,40.609,-74.089,-74.07,"40.595,40.609,-74.089,-74.07",2251.4999999999927
88,40.595,40.609,-74.107,-74.089,"40.595,40.609,-74.107,-74.089",775.1000000000008
89,40.595,40.609,-74.126,-74.107,"40.595,40.609,-74.126,-74.107",1061.8000000000018
90,40.595,40.609,-74.144,-74.126,"40.595,40.609,-74.144,-74.126",931.4000000000017
91,40.595,40.609,-74.163,-74.144,"40.595,40.609,-74.163,-74.144",700.2000000000007
92,40.595,40.609,-74.181,-74.163,"40.595,40.609,-74.181,-74.163",589.8000000000009
93,40.595,40.609,-74.2,-74.181,"40.595,40.609,-74.2,-74.181",283.59999999999997
94,40.609,40.623,-73.756,-73.738,"40.609,40.623,-73.756,-73.738",943.0000000000016
95,40.609,40.623,-73.775,-73.756,"40.609,40.623,-73.775,-73.756",307.9
96,40.609,40.623,-73.83,-73.811,"40.609,40.623,-73.83,-73.811",47.4
97,40.609,40.623,-73.904,-73.885,"40.609,40.623,-73.904,-73.885",196.59999999999997
98,40.609,40.623,-73.922,-73.904,"40.609,40.623,-73.922,-73.904",4974.199999999995
99,40.609,40.623,-73.941,-73.922,"40.609,40.623,-73.941,-73.922",4511.199999999992
100,40.609,40.623,-73.959,-73.941,"40.609,40.623,-73.959,-73.941",5225.700000000008
101,40.609,40.623,-73.978,-73.959,"40.609,40.623,-73.978,-73.959",4531.0999999999985
102,40.609,40.623,-73.996,-73.978,"40.609,40.623,-73.996,-73.978",6327.200000000042
