,lower_latitude,upper_latitude,mean_latitude,lower_longitude,upper_longitude,mean_longitude,box,crime_score
0,40.498,40.507,40.5025,-74.233,-74.222,-74.22749999999999,"40.498,40.507,-74.233,-74.222",35.2
1,40.498,40.507,40.5025,-74.244,-74.233,-74.2385,"40.498,40.507,-74.244,-74.233",271.9999999999999
2,40.498,40.507,40.5025,-74.256,-74.244,-74.25,"40.498,40.507,-74.256,-74.244",150.69999999999996
3,40.507,40.515,40.510999999999996,-74.2,-74.189,-74.1945,"40.507,40.515,-74.2,-74.189",27.700000000000006
4,40.507,40.515,40.510999999999996,-74.211,-74.2,-74.2055,"40.507,40.515,-74.211,-74.2",51.2
5,40.507,40.515,40.510999999999996,-74.222,-74.211,-74.2165,"40.507,40.515,-74.222,-74.211",16.3
6,40.507,40.515,40.510999999999996,-74.233,-74.222,-74.22749999999999,"40.507,40.515,-74.233,-74.222",148.49999999999997
7,40.507,40.515,40.510999999999996,-74.244,-74.233,-74.2385,"40.507,40.515,-74.244,-74.233",319.7
8,40.507,40.515,40.510999999999996,-74.256,-74.244,-74.25,"40.507,40.515,-74.256,-74.244",602.6000000000013
9,40.515,40.524,40.5195,-74.177,-74.166,-74.17150000000001,"40.515,40.524,-74.177,-74.166",1.1
10,40.515,40.524,40.5195,-74.189,-74.177,-74.18299999999999,"40.515,40.524,-74.189,-74.177",25.1
11,40.515,40.524,40.5195,-74.2,-74.189,-74.1945,"40.515,40.524,-74.2,-74.189",151.19999999999996
12,40.515,40.524,40.5195,-74.211,-74.2,-74.2055,"40.515,40.524,-74.211,-74.2",172.29999999999995
13,40.515,40.524,40.5195,-74.222,-74.211,-74.2165,"40.515,40.524,-74.222,-74.211",242.89999999999992
14,40.515,40.524,40.5195,-74.233,-74.222,-74.22749999999999,"40.515,40.524,-74.233,-74.222",101.30000000000001
15,40.515,40.524,40.5195,-74.244,-74.233,-74.2385,"40.515,40.524,-74.244,-74.233",314.3
16,40.515,40.524,40.5195,-74.256,-74.244,-74.25,"40.515,40.524,-74.256,-74.244",9.1
17,40.524,40.532,40.528,-74.166,-74.155,-74.1605,"40.524,40.532,-74.166,-74.155",164.99999999999994
18,40.524,40.532,40.528,-74.177,-74.166,-74.17150000000001,"40.524,40.532,-74.177,-74.166",92.29999999999997
19,40.524,40.532,40.528,-74.189,-74.177,-74.18299999999999,"40.524,40.532,-74.189,-74.177",92.29999999999998
20,40.524,40.532,40.528,-74.2,-74.189,-74.1945,"40.524,40.532,-74.2,-74.189",193.5999999999999
21,40.524,40.532,40.528,-74.211,-74.2,-74.2055,"40.524,40.532,-74.211,-74.2",360.7
22,40.524,40.532,40.528,-74.222,-74.211,-74.2165,"40.524,40.532,-74.222,-74.211",233.2999999999999
23,40.524,40.532,40.528,-74.233,-74.222,-74.22749999999999,"40.524,40.532,-74.233,-74.222",58.300000000000004
24,40.524,40.532,40.528,-74.244,-74.233,-74.2385,"40.524,40.532,-74.244,-74.233",72.5
25,40.532,40.54,40.536,-74.144,-74.133,-74.1385,"40.532,40.54,-74.144,-74.133",13.1
26,40.532,40.54,40.536,-74.155,-74.144,-74.1495,"40.532,40.54,-74.155,-74.144",410.1000000000003
27,40.532,40.54,40.536,-74.166,-74.155,-74.1605,"40.532,40.54,-74.166,-74.155",235.59999999999988
28,40.532,40.54,40.536,-74.177,-74.166,-74.17150000000001,"40.532,40.54,-74.177,-74.166",177.59999999999994
29,40.532,40.54,40.536,-74.189,-74.177,-74.18299999999999,"40.532,40.54,-74.189,-74.177",149.49999999999994
30,40.532,40.54,40.536,-74.2,-74.189,-74.1945,"40.532,40.54,-74.2,-74.189",269.3
31,40.532,40.54,40.536,-74.211,-74.2,-74.2055,"40.532,40.54,-74.211,-74.2",299.80000000000007
32,40.532,40.54,40.536,-74.222,-74.211,-74.2165,"40.532,40.54,-74.222,-74.211",281.8999999999999
33,40.532,40.54,40.536,-74.233,-74.222,-74.22749999999999,"40.532,40.54,-74.233,-74.222",118.19999999999999
34,40.532,40.54,40.536,-74.244,-74.233,-74.2385,"40.532,40.54,-74.244,-74.233",234.09999999999994
35,40.54,40.548,40.544,-74.144,-74.133,-74.1385,"40.54,40.548,-74.144,-74.133",196.39999999999995
36,40.54,40.548,40.544,-74.155,-74.144,-74.1495,"40.54,40.548,-74.155,-74.144",526.9000000000007
37,40.54,40.548,40.544,-74.166,-74.155,-74.1605,"40.54,40.548,-74.166,-74.155",564.0000000000008
38,40.54,40.548,40.544,-74.177,-74.166,-74.17150000000001,"40.54,40.548,-74.177,-74.166",395.60000000000025
